ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,DIRECTION_NAME_ALT,SERVICE_CODE,SERVICE_TYPE,SERVICE_CLASS,SERVICE_MODE,SORT_ORDER,STOP_ID,STOP,TRAVEL_DIRECTION,TIMEPOINT,CITY,COUNTY,TAZ,CENSUS_TRACT,AVG_DWELL_TIME,AVG_SEGMENT_MILES,AVG_PASSENGER_MILES,AVG_PASSENGERS_ON,AVG_PASSENGERS_OFF,AVG_VEHICLE_SEATS,AVG_LOAD,MAX_LOAD,MAX_LOAD_P,AVG_WHEELCHAIR,AVG_BICYCLE,AVG_KNEEL,AVG_SERVICED,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,SUM_VEHICLE_SEATS,SUM_LOAD,SUM_PASSENGER_MILES,SUM_WHEELCHAIR,SUM_FON,SUM_FOFF,SUM_RON,SUM_ROFF,SUM_BICYCLE,SUM_KNEEL,AVG_LOAD_P,TRIPS_EARLY,TRIPS_LATE,TRIPS_ONTIME,Latitude,Longitude,SUM_TRAFFIC_PRIORITY,LAT_ACTUAL,LON_ACTUAL,LOAD_DURATION_ALT,LOAD_DURATION,ONTIME,STOP_KEY,TRIPS_COUNT,TRIPS_GROSS,ACTUAL_DIST
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,480,1914,38TH/TENNESSEE AVE,W,0,,,,,0.00198019802,0.600329,2.008595571,0,0,30,5,17,0.53125,0,0,0,0.134,16,22,4720,832,504.273312,2,16,9,0,8,0,0,17,0,0,0,35.011027,-85.327397,0,35.01102872,-85.32740159,0,0,0,,156,156,2
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,490,1488,TENNESSEE AVE/37TH,N,0,,,,,0,0.2014728,0.5392773893,0,0,30,4,11,0.34375,0,0,0,0.153,2,2,392,56,11.2824768,0,2,2,0,0,0,0,14,0,0,0,35.012657,-85.32595,0,35.012657,-85.325951,0,0,0,,13,13,0
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,500,1684,TENNESSEE AVE/BROAD,N,0,,,,,0,0.1530096,0.4095571096,0,0,30,4,11,0.34375,0,0,0,0,0,0,392,56,8.5685376,0,0,0,0,0,0,0,14,0,0,0,35.014305,-85.32506,0,35.014305,-85.325058,0,0,0,,13,13,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,510,1358,BROAD/CHARGER,E,0,,,,,0.02767741935,0.128016,0.4308712121,0,0,30,5,17,0.53125,0,0,0,0.076,15,2,4720,845,108.17352,0,15,2,0,0,0,0,17,0,0,0,35.015212,-85.323852,0,35.01521315,-85.32385557,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,520,1582,BROAD/POPEYES,N,0,,,,,0.007161290323,0.1648968,0.555659965,0,0,30,5,17,0.53125,0,0,0,0.038,4,3,4720,846,139.5026928,0,4,2,0,1,0,0,17,0,0,0,35.016102,-85.32301,0,35.01609985,-85.32301228,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,530,124,BROAD/33RD,E,0,,,,,0.02870967742,0.089916,0.2969053516,0,0,30,5,17,0.53125,0,0,0,0.173,8,25,4720,829,74.540364,0,8,9,0,16,0,0,17,0,0,0,35.017432,-85.322215,0,35.01743692,-85.32221808,0,0,0,,156,156,2
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,540,125,33RD/CHATTEM,E,0,,,,,0.008322580645,0.109728,0.3649475524,0,0,30,5,17,0.53125,0,0,0,0.051,8,2,4720,835,91.62288,0,8,2,0,0,0,0,17,0,0,0,35.01727,-85.321325,0,35.01727543,-85.32133758,0,0,0,,156,156,4
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,550,126,33RD/WILLIAMS,E,0,,,,,0.001419354839,0.1182624,0.3938034188,0,0,30,5,17,0.53125,0,0,0,0.019,2,1,4720,836,98.8673664,0,2,0,0,1,0,0,17,0,0,0,35.016888,-85.320228,0,35.01688922,-85.32023135,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,560,127,33RD/TEEN CHALLENGE,E,0,,,,,0,0.1057656,0.3521901709,0,0,30,5,17,0.53125,0,0,0,0,0,0,4720,836,88.4200416,0,0,0,0,0,0,0,17,0,0,0,35.01647,-85.319037,0,35.016472,-85.319038,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,570,128,33RD/TARLTON,E,0,,,,,0.01458064516,0.09906,0.3338068182,0,0,30,5,16,0.5,0,0,0,0.083,14,4,4720,846,83.80476,0,14,4,0,0,0,0,17,0,0,0,35.016097,-85.317972,0,35.01610015,-85.31797076,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,580,129,33RD/DELONG,E,0,,,,,0.01819354839,0.2340864,0.8083916084,0,0,30,5,17,0.53125,0,0,0,0.121,22,1,4720,867,202.9529088,0,22,1,0,0,0,0,18,0,0,0,35.015752,-85.31697,0,35.01575515,-85.31696963,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,590,130,33RD/ALTON PK BLVD,E,0,,,,,0,0.3172968,1.095749563,0,0,30,5,17,0.53125,0,0,0,0,0,0,4720,867,275.0963256,0,0,0,0,0,0,0,18,0,0,0,35.014933,-85.314602,0,35.014935,-85.314606,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,600,132,ALTON PK BLVD/31ST,N,0,,,,,0,0.1938528,0.6679050117,0,0,30,5,17,0.53125,0,0,0,0.038,4,6,4720,865,167.682672,0,4,5,0,0,0,0,18,0,0,0,35.017273,-85.312997,0,35.017273,-85.312996,0,0,0,,156,156,0
